precoFipe,precoMinimo,precoMedio,precoMaximo,brand,model,version,modelYear,carroceria,versionId
134924,115000,124046,132980,AUDI,A4,2.0 TFSI LAUNCH EDITION GASOLINA 4P S TRONIC,2017,Sedã,81882367f238a92b3766c9a76962fd49
172212,152900,159780,178000,AUDI,A4,2.0 TFSI LIMITED EDITION GASOLINA 4P S TRONIC,2018,Sedã,e31931bfdd87c20712284262305cca90
0,81990,93389,126800,AUDI,A5,1.8 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P MULTITRONIC,2015,Sedã,a17d0c6bbd1f4b2364abaeeeebf9319e
0,81990,93389,126800,AUDI,A5,1.8 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P MULTITRONIC,2015,Sedã,a17d0c6bbd1f4b2364abaeeeebf9319e
0,95900,104942,115000,AUDI,A5,1.8 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P MULTITRONIC,2016,Sedã,b2b47844407ab9f323e29311a58fa9d0
0,95900,104942,115000,AUDI,A5,1.8 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P MULTITRONIC,2016,Sedã,b2b47844407ab9f323e29311a58fa9d0
97309,86900,94546,103900,AUDI,A5,1.8 TFSI SPORTBACK ATTRACTION 16V GASOLINA 4P MULTITRONIC,2015,Sedã,d51a19a172c1a4bed2fb831ba6af91dd
111520,89990,103735,115000,AUDI,A5,1.8 TFSI SPORTBACK ATTRACTION 16V GASOLINA 4P MULTITRONIC,2016,Sedã,c4eede8257b5bc0260d7cd12483f0345
74885,64990,64995,64999,AUDI,A5,2.0 FSI SPORTBACK 16V GASOLINA 4P MULTITRONIC,2011,Sedã,4d2599883a911816d34bfa20635ce712
189724,185000,197500,210000,AUDI,A5,2.0 TFSI CABRIOLET AMBITION 16V GASOLINA 2P S-TRONIC,2016,Conversível,564db55d92236a9d891624f1167547de
207142,197900,201913,219900,AUDI,A5,2.0 TFSI GASOLINA SPORTBACK PRESTIGE PLUS S TRONIC,2019,Sedã,8dcbd124c37381a6a72e1a29d18fcfd2
74885,58900,70023,80000,AUDI,A5,2.0 TFSI SPORTBACK 16V GASOLINA 4P MULTITRONIC,2011,Sedã,002c6d1aadcb3cbcdc025023c468f2fa
0,74000,80417,84900,AUDI,A5,2.0 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P MULTITRONIC,2012,Sedã,b9455f6485f70e706fa18fbf1779b355
0,74000,80417,84900,AUDI,A5,2.0 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P MULTITRONIC,2012,Sedã,b9455f6485f70e706fa18fbf1779b355
0,69900,83327,99000,AUDI,A5,2.0 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P MULTITRONIC,2013,Sedã,adfd6918c4304408e848c20e53a944ad
0,69900,83327,99000,AUDI,A5,2.0 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P MULTITRONIC,2013,Sedã,adfd6918c4304408e848c20e53a944ad
0,80000,91190,109990,AUDI,A5,2.0 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P MULTITRONIC,2014,Sedã,9e4b28333f2a7ab816de5ae181eb3129
0,80000,91190,109990,AUDI,A5,2.0 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P MULTITRONIC,2014,Sedã,9e4b28333f2a7ab816de5ae181eb3129
188417,145000,179259,225000,AUDI,A5,2.0 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P S-TRONIC,2018,Sedã,84c99a231ab6e71ea6285510cefee138
0,82999,91458,99999,AUDI,A5,2.0 TFSI SPORTBACK AMBITION 16V GASOLINA 4P S-TRONIC,2013,Sedã,8aa6e2e8678c893372129adf66bb7372
0,82999,91458,99999,AUDI,A5,2.0 TFSI SPORTBACK AMBITION 16V GASOLINA 4P S-TRONIC,2013,Sedã,8aa6e2e8678c893372129adf66bb7372
0,84990,98013,112000,AUDI,A5,2.0 TFSI SPORTBACK AMBITION 16V GASOLINA 4P S-TRONIC,2014,Sedã,eb6e44072f1297b6ed031b88d71ce77e
0,84990,98013,112000,AUDI,A5,2.0 TFSI SPORTBACK AMBITION 16V GASOLINA 4P S-TRONIC,2014,Sedã,eb6e44072f1297b6ed031b88d71ce77e
193987,169800,200917,240000,AUDI,A5,2.0 TFSI SPORTBACK AMBITION 16V GASOLINA 4P S-TRONIC,2018,Sedã,ebbc76d48da64c0fd7746c34872b77bc
230545,204000,214330,228990,AUDI,A5,2.0 TFSI SPORTBACK AMBITION PLUS 16V GASOLINA 4P S-TRONIC,2018,Sedã,99b7b8e3ae0f2babc07f06c569ad4a3c
157288,152000,157475,166000,AUDI,A5,2.0 TFSI SPORTBACK ATTRACTION 16V GASOLINA 4P S-TRONIC,2018,Sedã,811388c73d4a48f7d1a75a2c3f37e420
144727,122900,137250,149900,AUDI,A6,2.0 TFSI AMBIENTE GASOLINA 4P S-TRONIC,2015,Sedã,b70e8e7683fe8a55ea7e1329757dfcb6
158720,124989,149203,178000,AUDI,A6,2.0 TFSI AMBIENTE GASOLINA 4P S-TRONIC,2016,Sedã,d9572ee66cf7f69bc3a76685d9c8098e
191367,149990,165124,179000,AUDI,A6,2.0 TFSI AMBIENTE GASOLINA 4P S-TRONIC,2017,Sedã,0124fc26f9cceb6dce2f03e302702dab
258224,191990,200445,208900,AUDI,A6,2.0 TFSI AMBIENTE GASOLINA 4P S-TRONIC,2018,Sedã,d4bbd567fc23bf42a1d7103a19ef0d3c
194424,169900,182200,194900,AUDI,A6,3.0 TFSI ALLROAD 24V GASOLINA 4P S-TRONIC,2015,Sedã,72d16d2a36d1c55da7739a4a90793bbd
0,219990,225172,229990,AUDI,A6,3.0 TFSI AMBITION PLUS QUATTRO V6 24V GASOLINA 4P S-TRONIC,2017,Sedã,1522b9793f32c27d9e90dd2f6c422c83
0,219990,225172,229990,AUDI,A6,3.0 TFSI AMBITION PLUS QUATTRO V6 24V GASOLINA 4P S-TRONIC,2017,Sedã,1522b9793f32c27d9e90dd2f6c422c83
207544,159990,182287,199000,AUDI,A6,3.0 TFSI AMBITION QUATTRO V6 24V GASOLINA 4P S-TRONIC,2015,Sedã,b6ed3b2562453294b5974a6fc54d1968
228987,198000,205963,219900,AUDI,A6,3.0 TFSI AMBITION QUATTRO V6 24V GASOLINA 4P S-TRONIC,2016,Sedã,44a6740cd6b7e8e31989186454f0f7da
315920,230990,234240,239990,AUDI,A6,3.0 TFSI AMBITION QUATTRO V6 24V GASOLINA 4P S-TRONIC,2018,Sedã,b2874bfa598676888300bdb1e90784b8
0,119800,141360,160000,AUDI,A6,3.0 TFSI LIMO AMBIENTE 24V GASOLINA 4P S-TRONIC,2014,Sedã,6d35797082327accddc37cfa0239028a
0,119800,141360,160000,AUDI,A6,3.0 TFSI LIMO AMBIENTE 24V GASOLINA 4P S-TRONIC,2014,Sedã,6d35797082327accddc37cfa0239028a
0,89500,115437,149000,AUDI,A6,3.0 TFSI QUATTRO V6 24V GASOLINA 4P S-TRONIC,2012,Sedã,e609e2a89a566befabf1d7c6fd04fbfc
0,89500,115437,149000,AUDI,A6,3.0 TFSI QUATTRO V6 24V GASOLINA 4P S-TRONIC,2012,Sedã,e609e2a89a566befabf1d7c6fd04fbfc
92005,74900,92450,110000,AUDI,A6,3.0 TFSI QUATTRO V6 24V GASOLINA 4P TIPTRONIC,2011,Sedã,ec0cc0b54bc4f529ef228357c3a14add
224724,195800,207350,218900,AUDI,A7,2.0 TFSI SPORTBACK AMBIENTE GASOLINA 4P S-TRONIC,2016,Sedã,082b3e107513babcde73056b4338fd15
186313,160000,169830,179990,AUDI,A7,3.0 TFSI SPORTBACK AMBIENTE V6 GASOLINA 4P S-TRONIC,2014,Sedã,dd3d6b12e377570d132d320dc83b83e8
219944,209990,223293,239900,AUDI,A7,3.0 TFSI SPORTBACK AMBITION QUATTRO V6 GASOLINA 4P S-TRONIC,2015,Sedã,a4ede855341de3ace5c8f99003c54632
255083,229990,237490,239990,AUDI,A7,3.0 TFSI SPORTBACK AMBITION QUATTRO V6 GASOLINA 4P S-TRONIC,2016,Sedã,a4fcd48ca4b14d5fda33a73f391c9281
303076,259000,261950,264900,AUDI,A7,3.0 TFSI SPORTBACK AMBITION QUATTRO V6 GASOLINA 4P S-TRONIC,2017,Sedã,cb5a5f2595295012b9608461469c8468
131295,99000,130145,146000,AUDI,A7,3.0 TFSI SPORTBACK V6 GASOLINA 4P S-TRONIC,2011,Sedã,e1eca9019b4e674e22291dcb1e067e06
137998,112000,144811,159900,AUDI,A7,3.0 TFSI SPORTBACK V6 GASOLINA 4P S-TRONIC,2012,Sedã,219b8142878f0fc16005fe80da2b1886
160021,146000,151000,156000,AUDI,A7,3.0 TFSI SPORTBACK V6 GASOLINA 4P S-TRONIC,2013,Sedã,63d266dd3b961b669f88906b2064e0fe
355210,275000,292127,308000,AUDI,A8,4.0 TFSI V8 32V GASOLINA 4P TIPTRONIC,2015,Sedã,eae7b5b5ab2dad8f1dace91566f36953
431942,334990,350546,369990,AUDI,A8,4.0 TFSI V8 32V GASOLINA 4P TIPTRONIC,2016,Sedã,eb50923e77e9535ccf90d63bd1946fec
108458,91990,107922,139900,AUDI,Q3,1.4 TFSI AMBIENTE FLEX 4P S TRONIC,2017,Utilitário esportivo,36be02dd7ccee6ed65e74d8a6407a611
127406,105000,121359,178990,AUDI,Q3,1.4 TFSI AMBIENTE FLEX 4P S TRONIC,2018,Utilitário esportivo,4c77bd9298a16f1bcadc4a329f1cf772
101406,79000,99481,149900,AUDI,Q3,1.4 TFSI AMBIENTE GASOLINA 4P S TRONIC,2016,Utilitário esportivo,469e8afb507807cc703fadc3c74fd9aa
